Geneid	RpS12_C_RNA	RpS12_B_RNA	RpS12_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0259975	0	0	0	10	0	2
FBGN0086355	6412	8193	8339	7436	7267	9073
FBGN0037489	5019	5257	5765	5734	6008	6242
FBGN0051098	111	94	154	151	202	247
FBGN0037399	8	18	16	32	18	19
FBGN0014869	4069	4889	5160	3966	3932	4698
FBGN0003884	247424	274834	242649	216768	222782	255902
FBGN0042206	15	20	178	49	22	29
FBGN0029503	2159	2105	1965	1582	1703	1756
FBGN0037322	4	24	8	34	16	8
FBGN0039806	25	86	93	46	18	36
FBGN0051533	18	5	24	28	15	46
FBGN0027866	16331	17521	16620	12160	13224	13933
FBGN0039835	714	647	752	857	858	828
FBGN0037703	3784	3807	3926	2862	3696	3247
FBGN0038952	165	234	78	116	126	70
FBGN0039085	6	22	55	50	25	10
FBGN0026399	28	20	12	30	23	8
FBGN0037609	1068	1060	963	807	1044	998
FBGN0010015	19	45	68	71	53	46
FBGN0037304	48	4	24	24	8	7
FBGN0263782	2051	2312	2323	1455	2091	1994
FBGN0026563	6	52	57	93	28	52
FBGN0051100	37	136	163	109	144	99
FBGN0046247	979	890	1011	1043	963	1056
FBGN0037739	2796	2997	2880	2673	2674	2753
FBGN0039671	26	5	7	37	20	11
FBGN0086610	2	0	3	9	10	1
FBGN0039157	3189	3120	3130	3162	2945	3165
FBGN0037291	32	37	40	17	21	20
FBGN0039437	2	51	22	35	15	11
FBGN0039118	51	96	206	302	330	284
FBGN0038404	80	131	150	173	126	203
FBGN0043043	12	58	17	37	33	18
FBGN0039862	616	728	650	173	204	197
FBGN0039367	2	0	16	27	1	21
FBGN0261860	0	0	32	6	0	2
FBGN0015781	1621	1727	1881	915	1218	1199
FBGN0039158	674	895	807	614	702	793
FBGN0004107	3976	3502	3474	3553	4663	4769
FBGN0039193	0	18	13	14	17	8
FBGN0039251	1	33	36	32	3	24
FBGN0039854	560	525	601	471	598	660
FBGN0051141	16	42	16	26	20	38
FBGN0038388	1090	1374	1242	947	1250	1237
FBGN0039313	82	86	72	6	19	0
FBGN0042710	21	0	4	25	20	1
FBGN0037342	1863	2123	1913	2044	2108	2159
FBGN0038592	43	36	45	18	31	19
FBGN0039354	14	12	19	36	41	79
FBGN0024963	21	40	89	72	64	91
FBGN0083971	5	28	14	14	4	11
FBGN0038102	5	0	10	14	18	2
FBGN0038535	52101	71585	57305	38907	49773	45077
FBGN0264357	11109	11943	12536	12853	12694	13825
FBGN0027492	20478	22123	21552	19264	22277	20621
FBGN0039194	13	4	32	15	6	7
FBGN0026380	6651	6313	5977	7195	8378	7559
FBGN0038042	1	7	22	17	1	31
FBGN0004595	154	427	519	157	248	166
FBGN0038651	12705	13366	13285	10250	11396	10410
FBGN0038571	1266	1042	1045	1082	1233	1044
FBGN0020385	3230	4111	5596	2686	3828	3488
FBGN0037761	5	10	24	9	23	8
FBGN0037876	1031	1253	1193	1023	1344	1124
FBGN0003861	53	37	117	65	78	51
FBGN0260462	17209	19550	18880	13707	15711	16935
FBGN0001281	30	52	60	44	15	34
FBGN0024912	142	118	133	199	268	207
FBGN0039467	74	57	63	56	77	19
FBGN0259831	16	0	11	18	21	2
FBGN0026250	12456	14627	13716	13070	15128	13476
FBGN0038893	643	428	583	447	414	507
FBGN0037448	141	117	152	60	74	52
FBGN0262982	4	4	7	8	2	1
FBGN0038436	32	1	21	36	22	16
FBGN0038979	2	5	9	12	4	8
FBGN0025781	3719	3256	3335	3213	3411	3243
FBGN0262010	0	5	12	0	13	9
FBGN0038845	36	3	20	15	32	10
FBGN0004510	2919	3110	2754	2468	2784	2573
FBGN0039581	14214	15605	14707	13013	14440	14965
FBGN0264563	7	0	0	6	2	1
FBGN0266173	0	0	0	0	0	0
FBGN0037720	4286	4906	5046	4024	4516	4769
FBGN0051081	0	0	7	8	19	5
FBGN0262582	73614	88411	82620	72242	74720	75388
FBGN0038114	10	32	60	6	50	42
FBGN0037713	431	445	383	580	749	632
FBGN0039187	6196	6988	6880	5220	5837	5231
FBGN0005671	8608	9580	10837	8362	8101	9682
FBGN0267385	12953	13572	13754	14113	15967	17375
FBGN0039043	1727	1849	1868	2133	2291	2341
FBGN0039215	12049	12895	12203	8698	9062	9792
FBGN0038953	3950	4009	4088	3615	4327	4184
FBGN0039670	23	20	83	21	3	42
FBGN0266579	141	99	118	83	99	63
FBGN0024555	24611	25021	25466	21571	23816	24901
FBGN0038611	11	24	78	105	25	36
FBGN0037814	3776	4896	3407	2954	3019	3304
FBGN0037900	597	643	753	568	582	619
FBGN0038643	22	38	400	1	2	79
FBGN0002441	9821	10210	9562	8429	8886	9274
FBGN0038053	1332	1372	1442	1272	1539	1442
FBGN0023212	2904	4288	3831	2879	3152	2916
FBGN0261838	402	457	453	376	313	343
FBGN0038820	6	8	1	40	16	16
FBGN0019828	47	0	11	7	14	34
FBGN0039336	818	736	534	700	728	700
FBGN0063649	23	67	118	84	51	91
FBGN0038421	2154	2185	2475	1299	1493	1183
FBGN0039261	13802	14390	14363	12354	14381	13474
FBGN0051029	68	179	58	142	92	107
FBGN0039577	4	7	2	24	10	1
FBGN0038377	34	0	27	4	1	0
FBGN0261808	656	751	750	567	520	605
FBGN0039366	2	0	3	7	16	8
FBGN0037647	961	1029	849	1053	1078	954
FBGN0039210	3595	3545	3706	3667	4224	4026
FBGN0039213	12388	13561	13367	10258	12159	12220
FBGN0038002	40	25	87	30	34	7
FBGN0039832	37	21	3	22	15	4
FBGN0037433	1946	1630	1838	1322	1517	1642
FBGN0266064	10800	10090	10385	8510	8643	9479
FBGN0038821	20	14	6	9	3	20
FBGN0261287	15	41	52	33	40	38
FBGN0010225	4471	5150	8952	2435	3221	2854
FBGN0039099	36	19	0	14	13	5
FBGN0037675	0	0	0	10	5	7
FBGN0038686	3051	2639	2801	2664	3146	2713
FBGN0039655	42	2	20	21	14	12
FBGN0027562	23	6	34	3	8	14
FBGN0038159	6	0	0	15	8	10
FBGN0037828	1	0	7	16	8	1
FBGN0037454	14	16	36	18	7	19
FBGN0260386	1245	1304	934	836	871	1013
FBGN0004172	25	2	0	15	0	13
FBGN0038510	4	3	4	12	8	7
FBGN0039704	10860	13679	12495	8091	10701	9935
FBGN0037949	3522	3457	3404	2821	3260	2983
FBGN0039594	3710	4130	4132	4186	3861	4705
FBGN0262005	0	38	39	0	19	0
FBGN0260935	2557	2921	2289	2195	2273	2458
FBGN0266454	4	4	20	7	0	5
FBGN0053783	14	10	14	25	7	7
FBGN0037920	1540	1887	1624	1153	1390	1521
FBGN0260940	1640	1504	1926	1472	1679	1411
FBGN0039269	1902	2612	2175	1392	1685	1865
FBGN0037746	6613	6609	6437	6977	7986	8294
FBGN0039712	3050	3479	3437	2325	2734	2689
FBGN0262362	30	0	108	6	7	12
FBGN0039337	1134	1345	1088	946	1131	1071
FBGN0038486	28	22	6	41	20	4
FBGN0259215	21	131	67	75	23	50
