Geneid	RpS12_C_RNA	RpS12_B_RNA	RpS12_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0050265	1	20	56	21	10	14
FBGN0034961	1920	2003	1814	2034	2186	1647
FBGN0033021	12950	13673	13448	9526	11249	9032
FBGN0260770	42	60	89	102	32	10
FBGN0050011	11297	14296	14011	8623	9349	9047
FBGN0034093	978	1016	1072	1196	959	1232
FBGN0053505	2177	1811	1698	1485	2169	1840
FBGN0034946	5187	5063	4722	3915	4132	4720
FBGN0262547	6	5	8	6	0	7
FBGN0033885	24	34	40	46	12	35
FBGN0001291	3614	4162	3566	2693	3260	2933
FBGN0004240	0	10	4	15	1	3
FBGN0040273	10897	11664	10972	9164	10355	10198
FBGN0034501	95	95	505	40	56	35
FBGN0003140	0	3	0	14	20	10
FBGN0034092	7	12	5	2	26	2
FBGN0033750	1073	832	1057	1007	1353	1345
FBGN0041235	41	4	42	6	9	29
FBGN0261823	17766	19864	18307	15527	16753	16440
FBGN0033814	3396	4134	3930	3510	3646	4362
FBGN0025885	5899	6917	6846	5878	7279	7233
FBGN0045482	6	1	6	23	3	0
FBGN0263032	2	0	4	0	3	5
FBGN0050413	0	0	7	4	1	8
FBGN0029147	120	143	232	133	119	45
FBGN0033323	52	37	73	32	29	53
FBGN0085257	241	178	80	150	183	108
FBGN0028407	16	6	30	32	5	1
FBGN0033353	31	30	19	11	36	17
FBGN0033422	40	31	43	27	15	59
FBGN0284252	7533	8808	8736	7922	8341	8615
FBGN0262882	10	5	10	14	6	7
FBGN0267861	3430	4313	4415	3351	3883	3651
FBGN0085218	10	1	23	2	11	0
FBGN0034363	15	1	8	2	8	4
FBGN0035014	0	9	0	14	18	0
FBGN0022987	6343	6607	6611	7156	7223	6821
FBGN0033355	0	27	17	21	0	0
FBGN0033138	0	5	26	38	6	4
FBGN0262103	7737	7928	7533	7389	6931	7431
FBGN0034697	4345	4833	4872	3421	4021	3925
FBGN0284231	190	147	124	97	122	109
FBGN0013764	10939	11045	10376	9727	10106	11507
FBGN0034968	84151	87131	81380	67613	76704	83371
FBGN0011227	299	141	252	215	330	237
FBGN0028496	74	130	168	221	105	102
FBGN0033473	2157	2195	2438	1966	2443	2364
FBGN0034504	17323	17612	16340	13422	16165	15862
FBGN0034548	42	57	33	48	27	34
FBGN0033663	63477	71836	66873	69721	79930	79163
FBGN0033170	132	37	292	25	54	73
FBGN0033990	741	648	858	816	1012	812
FBGN0050403	462	450	457	626	783	856
FBGN0033679	261	121	206	99	95	44
FBGN0040763	127	126	115	117	136	54
FBGN0034387	15	56	43	91	34	1
FBGN0050021	59	44	58	70	62	88
FBGN0250868	1016	922	1385	875	920	764
FBGN0033713	2363	2845	2984	2197	2398	2633
FBGN0028426	2069	2292	1890	1750	1912	1978
FBGN0053465	56	71	26	56	28	31
FBGN0284436	29413	32492	30886	27239	27888	30275
FBGN0033867	13	17	63	25	45	42
FBGN0010470	6160	7845	6172	3728	4982	4286
FBGN0050065	6	3	18	0	4	9
FBGN0033137	134	323	1235	98	154	94
FBGN0034346	5698	5689	5325	4579	5197	4885
FBGN0033122	5022	6217	5064	3914	3852	4777
FBGN0010482	212	184	352	164	140	170
FBGN0263250	7	3	26	5	10	3
FBGN0034103	1	10	1	0	0	8
FBGN0040730	13	18	12	0	1	0
FBGN0034638	33	12	162	43	18	32
FBGN0034199	1	21	15	0	10	1
FBGN0050103	14	15	84	22	22	27
FBGN0034709	246	680	948	301	255	292
FBGN0033315	901	882	783	653	570	922
FBGN0003396	38716	42360	42010	35773	38710	36163
FBGN0034902	1900	1862	1670	1714	1273	1933
FBGN0034957	1	60	30	56	25	19
FBGN0035090	93	391	1720	101	141	140
FBGN0034769	2	2	3	7	12	11
FBGN0034025	3955	4671	5261	3731	3804	4228
FBGN0025720	3581	3880	3645	2960	3753	3822
FBGN0033788	107	758	6639	27	2	18
FBGN0266487	495	669	538	553	591	516
FBGN0000633	25	54	81	85	64	37
FBGN0034528	3144	3467	3336	3254	3416	3041
FBGN0033362	321	280	261	207	158	237
FBGN0287212	12	5	16	9	11	14
FBGN0004907	65820	70955	68176	54519	65076	59438
FBGN0033810	1277	1203	1184	1076	1126	1262
FBGN0265833	0	0	5	4	0	3
FBGN0050340	12	43	22	13	12	57
FBGN0263376	12	22	44	58	13	18
FBGN0034173	7	22	26	15	0	18
FBGN0002643	29710	37017	31247	22988	26096	25143
FBGN0033363	15	39	11	35	28	35
FBGN0034182	314	412	320	438	397	439
FBGN0286932	52	129	70	31	62	32
FBGN0085261	31	89	358	45	17	47
FBGN0034988	492	545	484	386	478	505
FBGN0263020	8	13	201	4	6	5
FBGN0266083	14887	15706	15571	15675	16988	16711
FBGN0004581	94	41	65	122	94	86
FBGN0053140	1590	1419	1260	761	1044	883
FBGN0034731	31	6	35	20	19	22
FBGN0050349	7009	6676	6335	6881	7598	7681
FBGN0033397	8	22	45	41	18	20
FBGN0050382	18203	17364	15645	14204	17598	17300
FBGN0004055	2651	2166	2510	2328	2882	2856
FBGN0003067	4004	4439	7749	5030	3689	4814
FBGN0033815	6	23	20	38	9	22
FBGN0033730	1269	1957	1537	872	990	1172
FBGN0026402	1609	1666	1705	1765	2020	2374
FBGN0034665	22	13	12	13	23	3
FBGN0034883	53	75	45	128	156	170
FBGN0265429	4	26	0	4	6	0
FBGN0085244	6	5	6	3	6	8
FBGN0033467	198	80	203	124	91	69
FBGN0085241	8	0	0	24	0	0
FBGN0015295	4805	5232	5049	4476	4498	4960
FBGN0033450	426	363	293	359	396	384
FBGN0033861	6	0	1	5	9	1
FBGN0033687	2	0	13	3	6	6
FBGN0033925	1405	1430	1749	1255	1224	1448
FBGN0035006	67	271	1890	23	35	25
FBGN0034461	0	2	9	6	0	6
FBGN0034063	1142	1179	1338	1505	1691	1491
FBGN0034566	44	27	28	53	29	20
FBGN0033791	40	42	78	55	36	30
FBGN0034114	2373	2389	2813	2363	2490	2183
FBGN0050031	3800	30986	275346	318	179	578
FBGN0034705	813	1007	761	505	686	741
FBGN0034195	32	17	11	16	14	12
FBGN0053632	10	12	4	5	3	6
FBGN0034647	33	27	42	17	49	8
FBGN0033354	4033	4677	4509	4432	5001	4900
FBGN0054040	51	8	6	36	27	10
FBGN0028382	1682	1548	1393	1344	1458	1359
FBGN0034062	938	1052	949	803	694	1042
FBGN0040754	670	566	773	487	834	650
FBGN0003130	644	728	453	457	492	388
FBGN0034002	2199	2161	2252	2288	2919	2782
FBGN0266186	2297	2299	2404	1666	2179	2297
FBGN0263114	2	2	5	3	13	4
FBGN0050391	0	20	5	6	3	6
FBGN0044020	713	665	513	456	669	640
FBGN0033264	9036	8471	9272	8475	9092	9860
FBGN0085488	3	6	10	6	8	21
FBGN0260995	41	3	15	5	10	3
FBGN0034391	674	724	1048	386	457	378
FBGN0085213	14	6	0	25	22	8
FBGN0034105	2	18	22	2	2	0
FBGN0025583	6	3	0	6	13	0
FBGN0250824	177	248	139	135	208	216
FBGN0041205	4114	3997	3541	3303	2815	3326
FBGN0033033	3198	3004	3382	4132	4018	4026
FBGN0262889	0	0	10	3	3	0
FBGN0265180	1347	1835	1842	1400	1683	984
FBGN0035085	676	433	450	620	523	787
FBGN0265342	5	21	19	10	6	12
FBGN0033524	18	50	15	43	48	7
FBGN0034899	44	22	101	40	1	1
FBGN0266433	18	0	9	21	7	29
FBGN0035089	5382	6395	5792	5726	7266	7135
FBGN0259209	78	151	243	145	177	68
FBGN0034272	13	65	37	65	11	47
FBGN0260799	12362	14288	14844	12200	14635	11708
FBGN0034139	50	26	48	43	15	12
FBGN0034008	469	398	386	368	505	435
FBGN0035019	11	11	51	22	9	36
FBGN0000448	1622	8911	6837	731	1541	680
FBGN0034198	76	29	56	14	25	14
FBGN0033960	1164	1339	1281	1242	1415	1513
FBGN0040733	3	0	0	0	3	5
FBGN0033980	48	47	40	31	32	41
FBGN0014865	2	0	1	2	0	1
FBGN0261587	5	27	38	14	2	4
FBGN0050389	15132	15823	14909	13307	13318	14091
FBGN0012042	0	3	10	6	7	0
FBGN0262840	2	0	0	5	0	0
FBGN0033225	3898	4386	3938	3303	3494	3549
FBGN0034657	12603	12986	13141	13081	12549	13595
FBGN0033038	3454	3489	3464	2258	2339	2177
FBGN0033516	8	5	5	3	1	17
FBGN0033104	1258	1596	1272	784	1091	882
FBGN0027872	487	668	675	616	750	823
FBGN0033261	988	1068	931	930	1051	1195
FBGN0033686	407	374	305	423	352	329
FBGN0034774	5	0	9	5	6	2
FBGN0033658	38	63	103	138	110	275
FBGN0050169	1738	1739	1926	1628	1878	1764
FBGN0263395	5840	6704	6226	5140	5843	5812
FBGN0035084	41	94	69	19	45	137
FBGN0035091	101	192	245	65	126	57
FBGN0086656	6366	6289	6674	5676	6914	6356
FBGN0034722	9517	9287	9056	7427	8363	7901
FBGN0034098	2099	1724	1625	1268	1658	1436
FBGN0267002	2408	2968	2780	2024	2079	2147
FBGN0034365	120	84	156	205	197	112
FBGN0033648	9	74	3	26	22	16
FBGN0034389	24	125	66	122	42	64
FBGN0262837	0	2	0	0	1	0
FBGN0035073	3818	4057	3954	3115	3962	4035
FBGN0005778	0	0	18	12	13	25
FBGN0035065	756	837	1076	709	905	684
FBGN0033628	10	21	40	27	18	33
FBGN0061356	30	30	137	19	8	4
FBGN0034866	2	9	5	8	33	6
FBGN0005654	1039	994	996	1040	1138	1105
FBGN0035001	27436	30298	27375	26344	29236	29307
FBGN0034542	2760	2841	2625	2276	2934	2876
FBGN0033661	36338	39236	40979	33756	38381	36737
FBGN0005655	13365	12782	12931	14045	15448	16382
FBGN0033897	10838	11349	10572	9826	10972	10389
FBGN0264089	37405	45315	40495	36360	40132	40831
FBGN0033499	2	28	5	9	3	0
FBGN0033382	774	1142	1093	1426	1344	1753
FBGN0034745	67	38	67	52	61	35
FBGN0034470	222	313	138	132	277	120
FBGN0033274	48	60	42	33	100	70
FBGN0034763	1052	1218	1113	803	848	971
FBGN0034263	4	24	0	27	5	8
FBGN0034540	1397	1452	1277	1217	1345	1284
FBGN0005586	43	38	6	13	21	11
FBGN0283450	6240	6007	5681	5370	5816	6955
FBGN0262791	1	0	0	0	6	0
FBGN0260456	4030	4169	3746	3645	4537	4905
FBGN0015561	46	49	56	20	80	90
FBGN0261990	1	42	6	28	13	19
FBGN0050364	25	0	19	8	14	8
FBGN0033483	549	796	874	566	681	664
FBGN0050342	3079	2927	3256	2561	3005	2870
FBGN0028687	12961	13176	13371	11618	13569	13682
FBGN0263697	2571	2495	2509	2101	2582	2196
FBGN0034560	19	0	0	13	22	8
FBGN0263849	43	89	50	68	33	44
FBGN0259977	92	87	73	67	40	69
FBGN0265046	11	23	12	32	1	13
FBGN0033968	2543	2468	2098	1860	2705	2910
FBGN0029084	356	617	589	344	382	276
FBGN0261989	62	270	1811	74	65	23
FBGN0033347	86	183	77	56	89	84
FBGN0259710	0	4	7	5	2	13
FBGN0033028	4309	4842	4822	4148	4897	4432
FBGN0034442	486	436	507	440	587	501
FBGN0061361	1085	1117	1509	1054	1103	1564
FBGN0034573	2774	3377	3170	2162	2535	3087
FBGN0010516	5050	5486	5738	4899	5531	6156
FBGN0040759	10	10	24	0	11	0
FBGN0034368	6025	6405	6208	5080	6111	5739
FBGN0265313	50	23	72	21	26	25
FBGN0033850	1	12	42	35	6	16
FBGN0050015	13602	15926	14298	14145	15047	15495
FBGN0050272	33	100	152	14	10	29
FBGN0050355	0	13	9	19	0	0
FBGN0034840	2	0	2	30	19	8
FBGN0040666	901	868	925	731	734	894
FBGN0033871	327	279	392	362	372	261
FBGN0034191	261	514	297	323	263	230
FBGN0034670	26	18	28	37	8	31
FBGN0053012	68	35	63	74	71	23
FBGN0050395	89	43	52	68	51	19
FBGN0033309	3253	3681	3587	3164	3374	3962
FBGN0033437	10	58	276	36	72	38
FBGN0016078	2094	2522	1971	1672	1682	1694
FBGN0026401	29411	33594	34060	24890	27925	24457
FBGN0003891	51107	59525	54789	34475	37153	35635
FBGN0034974	8940	12273	9962	8736	10154	9254
FBGN0034464	1	18	12	32	5	15
FBGN0034744	1606	1894	1465	1284	1217	1347
FBGN0004168	44	49	68	32	46	37
FBGN0261625	171	94	160	219	123	225
FBGN0043536	8	22	0	9	18	1
FBGN0034033	436	339	588	499	332	376
FBGN0000057	2445	2305	2529	1645	1851	2040
FBGN0015544	3725	3607	3461	3209	3346	3506
FBGN0033884	827	803	759	682	888	750
FBGN0033550	157	266	367	241	263	312
FBGN0040503	38	68	249	24	31	26
FBGN0250851	1067	1402	1565	1071	1168	1145
FBGN0033558	11	28	14	57	55	15
FBGN0035007	16	0	4	51	8	8
FBGN0025692	18	44	203	15	15	33
FBGN0053349	41	17	69	19	6	21
FBGN0085638	2066	2875	2622	1489	2328	1800
FBGN0004919	40	30	161	63	63	35
FBGN0033248	33	8	14	16	9	8
FBGN0050056	159	243	165	70	173	116
FBGN0263667	4806	5513	5171	4538	4719	5089
FBGN0020764	3090	3557	3750	2290	2817	3070
FBGN0261373	395	476	412	388	471	499
FBGN0034629	222	196	677	221	145	156
FBGN0033602	50	154	110	37	32	32
FBGN0033603	23	94	76	77	55	71
FBGN0035008	0	1	5	0	4	6
FBGN0033827	32	5	7	20	32	4
FBGN0034712	34	19	10	31	17	7
FBGN0262728	18	31	48	13	46	24
FBGN0264294	3610	3711	3970	2709	3344	2960
FBGN0033715	1070	1035	1311	1115	1450	1492
FBGN0034371	1347	2021	1551	1129	1194	1382
FBGN0005619	29	128	98	79	72	42
FBGN0260764	62	41	50	61	82	82
FBGN0261456	6472	7212	6546	5223	5982	5899
FBGN0029154	14	23	0	11	13	24
FBGN0286783	3149	3574	4523	3856	4393	5029
FBGN0033696	31	66	148	11	8	22
FBGN0034366	1488	1133	1218	1330	1264	1225
FBGN0033485	4194	4620	4452	3990	4502	4573
FBGN0034286	35	19	23	51	16	19
FBGN0260762	0	2	0	8	0	0
FBGN0034175	167	244	217	102	65	107
FBGN0002174	2181	2498	2553	1980	2312	2779
FBGN0034214	1516	1642	1612	1462	1463	1468
FBGN0050369	13	0	9	1	3	0
FBGN0033252	93	267	177	249	163	180
FBGN0001133	2296	2563	2394	1575	1920	2101
FBGN0085249	3080	4104	4319	4286	4373	3163
FBGN0263083	6	0	0	4	0	6
FBGN0265184	1058	1427	1270	1121	1072	1021
FBGN0260429	49	26	52	37	31	23
FBGN0034506	32	30	4	41	22	40
FBGN0035036	3362	3409	3090	2444	2928	2862
FBGN0034611	1895	2223	2081	1481	1726	1641
FBGN0027507	5726	5254	6409	4449	4939	4432
FBGN0033140	1	7	27	15	7	4
FBGN0260775	345	440	256	261	289	359
FBGN0259876	16234	17207	17249	16234	16895	17503
FBGN0034758	10	81	735	7	19	36
FBGN0263934	19275	24456	21785	17526	17815	18854
FBGN0033600	21	24	85	16	14	25
FBGN0266723	1061	817	974	745	1139	864
FBGN0034181	19050	20618	19304	20368	22457	21666
FBGN0034935	7	14	6	13	5	17
FBGN0067903	5	1	8	7	2	0
FBGN0063496	0	2	8	16	4	0
FBGN0013305	3352	3837	3286	3072	4261	3668
FBGN0260474	80	31	78	16	30	24
FBGN0259937	26397	24898	26024	26255	30412	30672
FBGN0034513	30	18	4	55	12	5
FBGN0034618	910	871	1423	892	779	774
FBGN0001187	38	34	73	20	65	9
FBGN0259202	910	1122	709	714	705	861
FBGN0050037	6	0	4	53	28	12
FBGN0010621	33398	37636	32660	31288	33196	37784
FBGN0286834	26	0	44	30	35	21
FBGN0011592	26168	32342	27558	18273	21641	19469
FBGN0033950	10	0	24	17	16	0
FBGN0034720	109	128	103	99	88	150
FBGN0034012	20	15	56	56	17	34
FBGN0263109	6423	7072	6760	6653	6663	6565
FBGN0033717	3781	3911	4543	3814	3967	4108
FBGN0033756	69	27	28	121	89	57
FBGN0034715	17	94	162	151	53	83
FBGN0286931	28	0	0	14	8	0
FBGN0028683	1445	932	1201	1035	1202	1022
FBGN0083941	19	0	0	0	0	4
FBGN0034141	2631	2894	2874	1659	1725	1916
FBGN0034936	2755	3312	2326	2169	2389	2574
FBGN0034279	30	65	75	76	49	82
FBGN0033186	771	995	1033	795	915	925
FBGN0083936	4	0	0	7	1	8
FBGN0085234	30	35	22	60	12	17
FBGN0082585	1282	1110	835	670	728	772
FBGN0034700	28	45	98	19	32	44
FBGN0053156	1405	1641	1471	1327	1713	1766
FBGN0015372	566	760	573	569	674	712
FBGN0261016	87	148	117	89	90	49
FBGN0034168	39	19	33	40	4	22
FBGN0285949	77299	84245	79079	72054	81705	79276
FBGN0040734	0	0	0	5	2	0
FBGN0265576	95	100	26	61	77	45
FBGN0033952	21	52	25	25	11	16
FBGN0010638	4695	4341	4742	3267	4395	3871
FBGN0033464	98	66	119	137	117	90
FBGN0035059	2067	1740	1581	1444	1340	1295
FBGN0005612	4731	5714	5621	3263	3765	3654
FBGN0016726	23005	23646	23402	20851	28626	26653
FBGN0262574	1	14	47	4	4	4
FBGN0033665	645	430	690	483	394	535
FBGN0033221	33	65	414	32	38	26
FBGN0267351	4832	5287	5061	4195	4086	4431
FBGN0014469	1460	1815	1932	520	621	763
FBGN0033624	6539	7236	7320	4818	5677	5777
FBGN0034179	2052	2231	2172	2521	3072	3092
FBGN0002571	16	37	196	48	4	25
FBGN0034817	1881	1752	1530	1615	1696	2028
FBGN0288856	476	768	846	611	638	623
FBGN0023081	12287	13566	12781	10579	11846	11433
FBGN0261394	15332	15713	14479	13704	16490	16651
FBGN0263240	6320	6903	6612	6024	6108	6339
FBGN0034299	1540	1400	1383	1690	1773	1672
FBGN0034071	7588	9432	8721	7575	8471	8352
FBGN0034154	1	4	15	2	5	2
FBGN0035040	17	3	74	19	11	17
FBGN0034097	21	10	2	13	2	16
FBGN0085243	4	8	2	29	12	19
FBGN0034626	705	870	839	832	786	828
FBGN0261975	2045	2051	1900	1529	1988	1897
FBGN0260475	875	734	698	851	729	739
FBGN0025335	1613	1332	1533	1355	1406	1725
FBGN0043576	24	14	21	45	10	9
FBGN0011695	55	96	65	96	34	75
FBGN0035056	1087	1027	1082	490	478	462
FBGN0034860	633	952	743	442	655	698
FBGN0034262	10	35	55	48	34	46
FBGN0033538	747	927	691	504	609	572
FBGN0010238	17800	19724	18309	13067	15261	15819
FBGN0064237	16	43	528	34	26	8
FBGN0000405	14561	14127	14316	16768	18297	19053
FBGN0040491	23	10	43	39	30	17
FBGN0033820	48	83	616	18	64	32
FBGN0033702	148	302	186	94	133	115
FBGN0288686	18974	25068	19264	11992	13105	13401
FBGN0034580	12	86	34	11	5	33
FBGN0027558	3308	4502	4341	2996	3614	3484
FBGN0034265	922	1519	1072	990	933	814
FBGN0027529	5245	5859	5712	4966	5786	5997
FBGN0033136	6	24	22	18	23	17
FBGN0033860	60	3	28	48	19	48
FBGN0028689	12125	12529	13366	10430	11836	11982
FBGN0053468	0	7	3	11	10	19
FBGN0286788	3385	2925	3498	3733	3946	4460
FBGN0267398	4654	4489	4954	4627	5742	4301
FBGN0259727	458	547	529	476	409	590
FBGN0034739	13	0	22	40	10	1
FBGN0033194	24384	26582	27027	22870	24293	22522
FBGN0020279	118117	130797	118070	101091	110738	111708
FBGN0034266	940	688	694	752	791	917
FBGN0034419	1353	1387	1304	1102	1367	1385
FBGN0034599	1121	1044	1017	759	880	1212
FBGN0034459	2	18	26	47	24	31
FBGN0085227	12	3	0	10	5	17
FBGN0034455	781	868	970	821	1068	997
FBGN0034500	2116	2458	2514	1816	2089	1760
FBGN0034543	687	901	854	791	936	843
FBGN0259742	2157	1964	1945	1907	1765	1843
FBGN0034853	4846	5255	5154	4493	4503	5745
FBGN0034325	21	26	8	14	9	4
FBGN0085264	0	10	20	10	16	12
FBGN0053463	155	162	141	182	216	116
FBGN0034493	670	1039	986	572	640	427
FBGN0034563	14	0	0	7	0	7
FBGN0033657	19	56	126	24	61	37
FBGN0041234	0	5	50	14	13	2
FBGN0034377	122	179	131	160	167	98
FBGN0003977	12222	14020	12364	10289	10611	11278
FBGN0000337	1	0	4	21	3	30
FBGN0260012	12211	12800	12440	11024	11847	12517
FBGN0265626	13	4	13	18	66	76
FBGN0266525	552	670	535	384	464	406
FBGN0034196	2	2	0	7	26	4
FBGN0260455	15	0	16	15	12	28
FBGN0034474	4	0	4	18	10	0
FBGN0050385	812	1105	938	522	752	643
FBGN0020370	21621	23006	22954	18902	21333	21230
FBGN0285917	62944	77482	68406	58557	61506	63137
FBGN0034725	1000	1525	1318	826	1209	1177
FBGN0034475	4	0	0	0	17	3
FBGN0027091	5156	5398	4852	4434	5293	4670
FBGN0033753	221	281	311	304	244	352
FBGN0027619	5156	5511	5740	4961	5431	5324
FBGN0011824	3593	2861	3236	3068	3693	3208
FBGN0023172	39485	42731	42180	35389	38089	36987
FBGN0259718	162	169	159	99	181	129
FBGN0032997	3717	2894	3501	1952	2195	2189
FBGN0040477	531	474	672	645	731	932
FBGN0033286	4	25	26	32	33	14
FBGN0034748	2031	1785	1709	1435	1758	1649
FBGN0011297	737	944	1131	933	984	1058
FBGN0033491	2126	2534	2355	1546	1783	1955
FBGN0034839	0	0	5	4	9	4
FBGN0033587	5	0	4	10	0	5
FBGN0288433	394	442	341	279	164	193
FBGN0033943	0	20	42	101	24	26
FBGN0035082	1376	1724	1803	1011	1230	1049
FBGN0033984	3651	4287	4015	3308	3535	3805
FBGN0050051	226	230	259	287	305	288
FBGN0085250	34	53	32	36	22	2
FBGN0053919	17	27	35	84	28	64
FBGN0033356	1141	1146	1152	1232	1333	1298
FBGN0004638	4531	4129	4200	3894	4425	3698
FBGN0034229	27	13	18	88	50	59
FBGN0034180	5737	6299	6246	5675	5723	5966
FBGN0004463	5850	5491	5284	4377	5594	5511
FBGN0262619	4219	3641	4446	4668	4887	5103
FBGN0033652	7451	7486	7109	5215	6673	6938
FBGN0260991	23417	25490	24488	24285	25700	26997
FBGN0034176	4186	3853	4129	4129	5018	5001
FBGN0085236	0	1	0	16	7	0
FBGN0050020	10111	10118	10645	10743	11378	11255
FBGN0000426	3547	3670	3320	4147	4333	3950
FBGN0050357	270	445	283	314	319	361
FBGN0025519	2788	3453	2665	2234	2504	2934
FBGN0053470	0	52	152	18	36	11
FBGN0033698	13317	13531	13838	12253	13254	13904
FBGN0050280	2	8	18	29	23	0
FBGN0033578	58	79	46	62	32	64
FBGN0265178	5670	5881	5740	4650	5344	5233
FBGN0050354	72	79	34	79	58	50
FBGN0053554	42198	49639	47850	37283	42851	35592
FBGN0050049	88	43	132	105	50	81
FBGN0261276	9094	10123	9968	8808	9082	9714
FBGN0033101	1827	1802	1726	2050	2250	2395
FBGN0054021	1	0	2	4	0	0
FBGN0033734	1057	1265	844	640	957	978
FBGN0020377	2	23	36	20	10	18
FBGN0034392	924	797	643	583	875	966
FBGN0261705	237	512	540	302	412	486
FBGN0034402	421	235	370	330	400	459
FBGN0004003	4205	5582	3946	2855	3612	3480
FBGN0013770	10837	12833	12900	9280	10410	10363
FBGN0287478	11743	13580	13455	9383	9671	9862
FBGN0028738	277	310	204	178	160	174
FBGN0034259	4738	4734	4178	3774	4840	5169
FBGN0050058	10	14	19	21	18	13
FBGN0050147	5087	5495	5730	5199	4925	4956
FBGN0034471	5	25	8	2	1	2
FBGN0085239	4	0	0	3	12	6
FBGN0033821	10	6	35	5	7	2
FBGN0050472	0	0	7	12	6	1
FBGN0041582	3389	3766	3263	2887	3200	3629
FBGN0000566	5019	4733	5324	4142	4584	4684
FBGN0035043	23	41	254	16	26	1
FBGN0034322	7	0	37	47	20	2
FBGN0069056	123	93	134	36	47	28
FBGN0015714	90	204	150	336	366	375
FBGN0040007	8498	8380	9096	7674	9567	8520
FBGN0000615	79	47	188	132	129	106
FBGN0050457	20	5	54	226	170	115
FBGN0033199	932	1147	1183	925	928	1193
FBGN0034800	609	616	799	506	491	506
FBGN0033301	0	0	19	4	11	13
FBGN0010620	14445	14722	14448	14670	14883	16038
FBGN0033327	25	14	20	66	9	9
FBGN0004435	4297	3726	4211	3653	4698	4224
FBGN0034158	3293	3412	3448	3309	3829	3631
FBGN0033543	384	577	716	377	368	485
FBGN0050053	2	25	34	54	44	9
FBGN0033426	1160	1013	1181	1225	1381	1445
FBGN0259221	3927	3841	4172	3478	3836	3549
FBGN0034870	5	17	12	21	6	0
FBGN0033395	4	0	98	36	26	11
FBGN0020930	1520	1922	1978	1766	1517	1968
FBGN0034849	484	404	332	483	545	463
FBGN0033599	17	4	36	32	11	15
FBGN0033697	5	14	31	56	11	15
FBGN0034277	21752	24964	22855	20369	24319	22614
FBGN0050022	841	587	835	832	1123	817
FBGN0016762	402	473	460	394	507	348
FBGN0261293	1	0	19	15	6	13
FBGN0033627	4600	5173	4142	3727	4087	4320
FBGN0034331	11	14	150	34	27	8
FBGN0050381	646	493	446	416	426	488
FBGN0034240	21732	23331	22415	19468	22228	22339
FBGN0003162	564	595	521	463	763	619
FBGN0050089	7756	8270	7608	6524	6483	6551
FBGN0010501	4270	4200	3749	3533	3665	4022
FBGN0266432	25	31	24	13	30	26
FBGN0020391	243	248	357	256	373	451
FBGN0021979	9888	11511	10599	9047	9578	11142
FBGN0050154	22	12	7	13	15	34
FBGN0034535	415	293	361	290	473	352
FBGN0050377	301	215	387	410	348	440
FBGN0085421	278	242	410	286	286	254
FBGN0287873	170418	186659	172822	120982	144000	131339
FBGN0034710	49	42	19	53	2	16
FBGN0033278	10	2	20	5	6	3
FBGN0033742	38	56	163	88	83	51
FBGN0034514	5	0	3	5	0	5
FBGN0003008	733	680	625	637	737	669
FBGN0262812	0	0	3	3	0	8
FBGN0033183	10082	9872	10077	7994	8414	9542
FBGN0033528	2077	1976	1981	2072	2421	2298
FBGN0034478	1	1	1	46	0	3
FBGN0013733	100253	117121	118703	88604	97618	92819
FBGN0041238	57	0	1	34	14	3
FBGN0034417	41	64	130	66	55	15
FBGN0033929	6326	7074	6586	5259	5463	5866
FBGN0053155	1204	1063	1091	734	992	919
FBGN0053798	10	4	20	6	6	20
FBGN0263743	1	19	0	16	14	0
FBGN0033767	25	14	32	38	23	10
FBGN0034753	71670	82191	72520	47394	53509	60632
FBGN0003317	5135	5717	4966	4465	4796	4981
FBGN0034458	29	17	32	26	18	12
FBGN0020236	17032	18879	18757	14626	15565	16623
FBGN0034971	3681	3736	3989	3158	3442	3187
FBGN0002569	19	21	20	54	4	4
FBGN0034871	2	10	0	23	9	2
FBGN0034117	104	127	828	96	124	41
FBGN0034532	150	152	177	95	108	143
FBGN0033573	7	0	2	8	5	1
FBGN0033735	1499	1653	1376	1362	1476	1703
FBGN0264273	19591	20050	18645	16510	18597	18221
FBGN0034966	67	64	89	40	72	62
FBGN0041706	324	269	367	387	505	593
FBGN0017414	775	884	655	537	800	832
FBGN0010504	2125	2342	2261	1815	2148	1887
FBGN0033763	4	28	37	65	11	9
FBGN0033712	846	947	1114	645	915	945
FBGN0287767	5310	5539	5743	4516	5070	4894
FBGN0050098	25	5	27	14	26	12
FBGN0033828	15	5	30	6	0	0
FBGN0033187	3585	4551	3939	3198	3581	3861
FBGN0033364	10	12	13	19	6	36
FBGN0033090	435	579	598	400	496	607
FBGN0004360	2399	3089	2135	1912	2158	2330
FBGN0053143	39	34	1	50	38	28
FBGN0027607	4494	5201	4783	3948	4254	4420
FBGN0011746	8175	6074	6709	5429	4946	5352
FBGN0035009	2	28	3	1	13	3
FBGN0034903	3732	3663	3453	3629	3338	3612
FBGN0265836	3	3	0	6	0	0
FBGN0263033	23	9	20	30	20	18
FBGN0283625	9	12	15	19	13	5
FBGN0035033	6706	7311	6863	6316	7017	7285
FBGN0034898	6	0	5	10	11	4
FBGN0028562	15	22	56	80	79	27
FBGN0034689	1668	1476	1220	1267	1223	1412
FBGN0034327	425	370	405	204	460	199
FBGN0033755	4369	4757	4509	3975	4734	4264
