Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0034435	57	35	26	39	39	33
FBGN0053200	44	77	43	33	38	26
FBGN0275436	1300	1352	949	1198	1218	1224
FBGN0034433	1909	2099	1489	2202	2703	2847
FBGN0010316	4473	4331	3441	4103	4132	4753
FBGN0261041	198	131	138	140	66	48
FBGN0033582	59	22	22	14	21	5
FBGN0033277	39	16	45	11	4	4
FBGN0023477	10939	11080	8940	7227	7506	8545
FBGN0262807	4	0	2	0	0	0
FBGN0034290	210	202	160	37	64	57
FBGN0033350	1354	1365	1134	1183	953	1119
FBGN0033983	944	779	639	41	37	27
FBGN0035070	12	50	11	6	13	19
FBGN0034248	810	929	822	549	558	591
FBGN0011296	2089	1942	1623	151	155	96
FBGN0260959	6515	6720	5183	7706	8552	8464
FBGN0033985	55	37	11	42	4	22
FBGN0034662	284	237	162	164	91	118
FBGN0002534	625	749	556	2201	609	1672
FBGN0263999	57	37	34	31	49	27
FBGN0034659	27	2	24	30	3	14
FBGN0053145	2425	2022	1951	1707	2110	2038
FBGN0028669	138	220	116	69	29	64
FBGN0034880	439	328	220	627	509	661
FBGN0034423	77	73	29	21	20	25
FBGN0033973	702	677	531	469	516	543
FBGN0003391	56440	55563	42425	62126	68164	69604
FBGN0026378	1811	2040	1614	1387	1483	1361
FBGN0001091	18909	19055	14731	15778	17928	19844
FBGN0033872	16	26	18	8	0	3
FBGN0288232	54	25	44	16	14	32
FBGN0034481	7	8	7	10	4	2
FBGN0050325	93	28	74	72	58	60
FBGN0033366	151	159	133	80	38	20
FBGN0265762	0	71	22	9	4	3
FBGN0025578	40	74	35	46	10	42
FBGN0033079	131	72	89	55	132	114
FBGN0033129	12	2	28	12	3	20
FBGN0016641	6889	7427	5745	6559	7704	8021
FBGN0034816	389	513	333	136	238	267
FBGN0015872	916	717	661	349	519	479
FBGN0034783	86	42	45	38	23	25
FBGN0033216	68	28	21	21	15	3
FBGN0264560	11493	11980	8960	9491	11352	11474
FBGN0026754	11	20	18	38	54	8
FBGN0034842	38	52	1	20	15	16
FBGN0061198	945	893	757	447	773	455
FBGN0034313	7737	7548	5835	6777	7586	7360
FBGN0001319	2154	2408	1727	3246	3483	3925
FBGN0033650	28	74	27	60	29	11
FBGN0033453	1907	1988	1400	1293	1585	1362
FBGN0035057	1605	1346	1069	1590	1913	1966
FBGN0035032	14283	14713	12562	9082	9673	10513
FBGN0034928	418	420	374	485	346	536
FBGN0034989	4370	4054	3594	3644	3840	4368
FBGN0041233	18	32	32	12	8	1
FBGN0034703	2008	2388	1701	1726	2026	2092
FBGN0033948	647	699	509	764	531	695
FBGN0054005	16	14	20	8	11	8
FBGN0033212	10690	11439	9232	11522	13449	12414
FBGN0033067	40	13	17	16	16	33
FBGN0086519	33	20	11	13	17	4
FBGN0050379	55	8	17	25	32	11
FBGN0033373	396	484	309	385	422	389
FBGN0262116	1859	2335	1561	743	958	788
FBGN0033128	39	32	23	10	11	37
FBGN0050042	79	65	37	6	6	18
FBGN0000008	4524	4331	3524	3382	3775	4238
FBGN0034142	10677	10167	8189	9181	10203	10543
FBGN0033931	22	6	20	10	3	20
FBGN0033649	1423	1825	1161	1492	1853	1653
FBGN0033072	8	70	33	49	71	51
FBGN0034788	44	91	10	10	7	67
FBGN0261397	5814	6417	4887	6837	7220	7136
FBGN0034688	1120	1347	904	605	972	855
FBGN0034099	2	27	26	13	5	21
FBGN0033169	3466	3619	2974	2365	3175	2957
FBGN0000581	25955	23332	19175	30932	31584	32198
FBGN0035077	7	4	39	8	11	14
FBGN0085248	12	51	26	7	7	1
FBGN0003274	94054	108550	83236	67163	67242	77068
FBGN0034859	2473	2169	2260	2073	2266	2410
FBGN0033685	37	33	8	19	6	42
FBGN0033593	38	267	91	15	24	21
FBGN0034477	53	15	39	26	24	12
FBGN0034958	2856	2934	2384	2077	2322	2476
FBGN0033167	35	5	2	0	5	0
FBGN0050484	67	98	64	31	24	36
FBGN0033020	8	11	1	38	9	9
FBGN0259238	3354	4203	3074	1974	2343	1686
FBGN0034143	498	448	458	270	326	307
FBGN0086677	62	33	38	43	45	32
FBGN0264298	40	45	29	38	11	2
FBGN0028563	2637	2979	2141	2811	2631	3126
FBGN0262515	6351	6377	4627	5002	5520	6561
FBGN0266439	577	653	402	403	357	347
FBGN0033584	124	117	110	87	138	107
FBGN0033015	7359	7274	5238	4868	5511	5318
FBGN0034634	746	937	702	886	895	907
FBGN0040091	489	642	560	534	560	636
FBGN0034572	5388	5271	4460	5756	5629	5703
FBGN0040751	255	335	261	269	236	273
FBGN0043792	350	248	276	157	128	229
FBGN0003009	55	31	49	3	13	44
FBGN0262567	22	8	4	13	25	28
FBGN0034138	66530	74123	56156	52685	63072	62982
FBGN0034521	1259	1592	1073	1158	1205	1419
FBGN0010423	81	147	48	27	45	7
FBGN0033442	14	2	3	13	2	4
FBGN0024196	1884	2656	1737	1691	1709	1701
FBGN0085220	1131	1417	959	758	844	878
FBGN0033680	17	26	9	20	0	0
FBGN0085415	41	61	40	33	27	5
FBGN0033431	551	825	484	455	613	547
FBGN0011286	610	474	477	363	328	293
FBGN0034819	87	48	39	7	2	3
FBGN0262824	7	4	5	22	0	2
FBGN0267728	2095	1985	1986	2172	2390	2900
FBGN0033166	5589	5349	3994	5535	6178	6167
FBGN0000181	63809	63164	49937	57068	60728	67038
FBGN0263391	26829	26842	21296	28874	30598	29276
FBGN0011589	124	158	95	130	89	63
FBGN0034007	155	71	48	83	105	91
FBGN0026361	2215	1924	1567	1879	2149	2418
FBGN0053469	10	52	28	20	12	6
FBGN0034939	3565	3927	3116	2863	3221	3171
FBGN0034237	73551	73176	57174	64617	70557	74282
FBGN0265174	1137	1234	823	706	874	797
FBGN0265045	3531	3194	2680	2180	2565	1989
FBGN0034865	73	42	37	20	7	0
FBGN0020372	21	30	30	6	20	31
FBGN0034578	209	225	215	111	208	212
FBGN0002787	13618	14157	11168	9817	11321	11327
FBGN0050296	200	151	120	78	73	42
FBGN0034590	8843	9144	6817	9310	10340	10119
FBGN0085219	12	10	9	10	8	1
FBGN0033447	113	118	87	93	39	22
FBGN0041087	363	589	485	318	220	190
FBGN0040735	5	1	2	0	3	8
FBGN0033541	54	48	38	25	16	40
FBGN0034569	2311	2472	2098	2949	2937	3261
FBGN0033721	38	30	23	23	26	6
FBGN0002531	16372	23617	12060	9032	4067	10548
FBGN0023171	1572	1861	1592	1253	1542	1238
FBGN0034411	132	85	63	46	24	22
FBGN0261501	0	5	2	1	0	1
FBGN0024234	17308	17811	13835	13423	14670	15925
FBGN0029006	14795	15163	11530	13155	14224	14399
FBGN0033434	3250	3542	3135	2875	3140	3237
FBGN0033971	1603	1683	1043	1529	1850	1995
FBGN0034975	19800	19889	15102	20834	22497	22346
FBGN0011726	39096	43709	32277	29624	34151	30560
FBGN0033934	5116	4708	3381	3024	3366	3646
FBGN0033949	384	445	311	53	125	84
FBGN0288447	21	66	24	21	42	10
FBGN0033494	207	125	180	79	93	61
FBGN0034529	3470	4269	2895	3607	3992	3676
FBGN0033732	16	18	37	17	18	31
FBGN0033955	86	101	81	25	37	23
FBGN0033095	1369	1385	1093	1846	1508	1549
FBGN0014020	29660	27867	26544	16201	17739	16388
FBGN0053475	9	0	13	2	14	2
FBGN0028741	8662	8673	6220	8063	9049	8070
FBGN0028991	2858	3288	2002	4110	4418	4675
FBGN0033819	87	101	82	66	17	31
FBGN0020306	99027	99383	78780	118954	129340	135117
FBGN0034523	2212	2139	1620	1534	1673	1434
FBGN0085341	42	12	8	11	33	8
FBGN0034716	81	51	75	49	63	48
FBGN0261807	3	18	4	13	4	3
FBGN0050087	17	8	55	8	21	50
FBGN0033117	1813	2114	1650	1543	1652	1781
FBGN0261292	8	9	34	6	2	6
FBGN0034759	18	24	41	19	7	2
FBGN0085487	37	7	14	21	6	0
FBGN0005624	10749	11370	8525	14731	15956	15565
FBGN0033572	74	61	21	21	30	24
FBGN0034592	15	29	10	136	123	150
FBGN0050431	31	57	20	44	24	10
FBGN0033693	550	591	486	505	796	556
FBGN0025360	768	722	501	1052	1333	1164
FBGN0034151	31	1	25	8	6	10
FBGN0002736	6793	7109	4916	6524	7420	7166
FBGN0033423	60	44	18	5	3	22
FBGN0040092	67	35	33	82	156	141
FBGN0050394	2867	2765	2283	2628	3110	3056
FBGN0027788	45	54	40	76	18	2
FBGN0034315	5158	5889	4118	3520	3929	4166
FBGN0002715	1190	1020	1073	992	1109	1098
FBGN0033830	23	17	11	10	10	0
FBGN0033474	2746	2251	1879	2017	2052	2157
FBGN0061362	390	601	392	321	412	357
FBGN0022238	5490	5560	3953	3617	4182	4374
FBGN0085254	28	10	16	14	1	1
FBGN0033589	27	7	5	20	6	11
FBGN0050502	85	28	30	23	15	1
FBGN0033287	138	206	104	365	493	397
FBGN0263780	998	1272	854	260	314	353
FBGN0034467	47	29	39	28	14	7
FBGN0033864	157	159	89	73	9	117
FBGN0033459	387	678	449	349	399	372
FBGN0033247	2919	3118	2363	2175	2345	2951
FBGN0053774	452	577	275	178	223	113
FBGN0265577	11	0	6	20	52	40
FBGN0262568	9	12	7	7	8	20
FBGN0033379	6554	8062	6295	4657	5266	4866
FBGN0054045	14	17	17	2	3	2
FBGN0034901	463	386	209	79	59	11
FBGN0034495	910	865	685	1017	697	1064
FBGN0013272	73135	69957	57726	70006	75849	76175
FBGN0263742	15	29	0	4	14	23
FBGN0286070	11346	10497	8580	9875	9691	10929
FBGN0085472	15	26	22	19	17	6
FBGN0035050	33	62	21	41	12	45
FBGN0033273	1076	1101	1084	1116	1236	1439
FBGN0050105	509	584	426	302	470	352
FBGN0034598	11003	12360	9242	13032	13905	14479
FBGN0034397	40	61	31	38	17	18
FBGN0034491	3895	4243	2887	3382	3942	4121
FBGN0250838	5152	6462	4147	3897	4384	4429
FBGN0034564	1756	1840	1465	1400	1766	1423
FBGN0010551	15465	15374	12261	10616	12683	12451
FBGN0034588	65	57	60	48	27	31
FBGN0035094	168	130	145	121	55	26
FBGN0034401	9147	9362	7213	7499	8645	9148
FBGN0261862	4172	4369	3884	3613	4017	4766
FBGN0050163	60	45	21	38	22	38
FBGN0033777	2412	2896	2083	1645	1770	1335
FBGN0265373	9	2	1	4	3	0
FBGN0026761	5458	5607	4451	5147	5129	5240
FBGN0265137	3526	3539	2841	3003	3006	3070
FBGN0013725	310	195	293	322	363	360
FBGN0034761	301	207	204	6	17	48
FBGN0034943	41	35	45	31	4	13
FBGN0025573	54	10	29	26	11	10
FBGN0034729	108	211	111	76	137	88
FBGN0034512	116	118	38	55	80	4
FBGN0034494	1122	1081	798	780	1015	696
FBGN0034009	4828	4949	3679	4106	4180	4133
FBGN0050430	6	5	2	2	4	0
FBGN0015929	12971	13791	10350	15627	16666	17848
FBGN0050489	198	133	176	56	27	23
FBGN0034956	866	1181	683	681	737	815
FBGN0013756	41509	39835	31700	51580	56752	56327
FBGN0085225	11	2	2	5	0	5
FBGN0033978	179	144	59	34	29	24
FBGN0086350	3248	2549	2270	2645	3336	2837
FBGN0033816	2363	2942	2180	2029	2202	2011
FBGN0023181	2341	2009	2040	1931	1992	2012
FBGN0010414	231	231	192	206	155	176
FBGN0034666	16	47	15	38	30	26
FBGN0259966	16	21	28	6	7	8
FBGN0050464	112	50	45	34	32	30
FBGN0034792	6705	7152	5312	5535	6261	6711
FBGN0050095	11	13	46	21	10	4
FBGN0033401	2328	2704	1702	2060	2463	2325
FBGN0020620	3766	3878	3106	3489	3577	3474
FBGN0053138	4374	4546	3686	4338	4637	5203
FBGN0034846	43	3	15	17	1	2
FBGN0033312	50	27	50	34	37	10
FBGN0033706	53	37	14	12	8	4
FBGN0264299	17	45	31	13	47	2
FBGN0034430	2404	2836	2055	1959	2715	2620
FBGN0015925	4501	4328	3215	3047	3220	3348
FBGN0046879	22	3	17	2	1	0
FBGN0263510	7258	7732	6291	4836	5895	5793
FBGN0013435	1649	1737	1228	778	894	907
FBGN0033757	1437	1253	1178	1464	1435	1594
FBGN0033065	39	15	50	54	27	42
FBGN0284237	1491	1229	1008	227	593	227
FBGN0045483	1	43	7	27	13	2
FBGN0034486	20	34	40	38	19	15
FBGN0034177	861	745	630	403	768	611
FBGN0015001	1	12	11	57	2	1
FBGN0266486	863	722	664	825	889	725
FBGN0266708	18	27	20	19	12	21
FBGN0016684	104	117	105	100	48	65
FBGN0286511	5519	4999	4259	5974	6466	6043
FBGN0033741	17847	19414	14364	11474	14400	12844
FBGN0050284	22	19	15	7	3	26
FBGN0033058	68	52	46	60	28	27
FBGN0041585	4498	4382	3407	4400	5053	5140
FBGN0028552	906	1327	865	651	780	824
FBGN0034426	49	12	16	26	11	0
FBGN0284243	352267	359606	278153	254231	271202	278316
FBGN0050414	226	280	157	85	164	74
FBGN0034497	64	72	25	8	30	7
FBGN0034651	5	38	20	18	25	24
FBGN0043010	2136	2590	1672	1668	1770	2238
FBGN0029079	4697	5353	4272	3121	3281	3455
FBGN0002716	356	515	336	525	635	491
FBGN0034833	11	49	13	16	1	1
FBGN0053461	36	23	17	19	28	6
FBGN0034416	14	25	19	25	23	10
FBGN0261403	13320	13957	10190	11398	13671	12380
FBGN0034693	994	815	592	1163	945	1161
FBGN0053704	11	0	10	8	8	0
FBGN0050100	1207	968	854	574	655	793
FBGN0034996	89	82	86	157	77	105
FBGN0053017	268	192	162	103	86	101
FBGN0259184	18	34	31	16	24	13
FBGN0050289	33	31	7	37	6	0
FBGN0011211	50251	49522	41294	41353	43350	48403
FBGN0033598	25	20	17	45	20	10
FBGN0034162	343	236	294	50	58	115
FBGN0086655	20994	19582	16503	23952	26299	24765
FBGN0286778	4233	3490	2962	4018	3297	4171
FBGN0085398	80	30	54	84	56	50
FBGN0034091	1574	1828	1314	1788	1913	1430
FBGN0260934	28172	29413	21737	34108	36932	35461
FBGN0262478	24	19	22	7	9	15
FBGN0035042	22	8	12	10	11	7
FBGN0034965	265	214	177	238	350	287
FBGN0034156	82	61	64	44	32	34
FBGN0033551	4575	4146	3587	3363	3355	3406
FBGN0261614	0	20	3	5	0	0
FBGN0033518	205	249	276	212	60	167
FBGN0034986	777	875	659	670	804	595
FBGN0085232	0	16	14	1	6	3
FBGN0034011	43	50	13	40	32	16
FBGN0011555	52	22	13	8	22	12
FBGN0086898	5247	5198	4157	4947	5823	5861
FBGN0035005	24	18	2	18	14	0
FBGN0033529	6112	6487	4555	4739	5212	4855
FBGN0003175	11642	12286	9123	14247	15469	15187
FBGN0033539	5028	4881	3674	4627	4874	5127
FBGN0002570	42	21	27	70	35	26
FBGN0027836	4027	3926	3080	3327	3085	3744
FBGN0026741	882	697	760	511	700	901
FBGN0053958	51	91	88	36	33	14
FBGN0262790	3	0	0	5	3	0
FBGN0034381	65	52	83	48	18	42
FBGN0035076	534	403	429	116	104	111
FBGN0034951	441	254	293	311	349	274
FBGN0035010	117	78	55	46	101	62
FBGN0034829	31	74	90	43	30	24
FBGN0020440	4735	4333	4115	4562	5669	5246
FBGN0022700	46	42	38	16	46	15
FBGN0033164	50	10	17	24	8	2
FBGN0015614	2124	2102	1702	1626	1846	2095
FBGN0002535	1952	5713	1856	2890	1470	2474
FBGN0034076	67	31	28	34	17	2
FBGN0034047	64	57	46	28	32	34
FBGN0033371	79	22	35	69	30	54
FBGN0034897	428	451	317	156	207	241
FBGN0013773	72	36	56	38	9	8
FBGN0265487	22490	21856	16084	30289	31890	30453
FBGN0034082	53	32	15	30	6	14
FBGN0033019	2456	2398	1741	1390	1532	1531
FBGN0034863	5	38	3	10	5	5
FBGN0003742	2834	2884	2293	2991	3607	3826
FBGN0265835	13	4	8	2	2	0
FBGN0034476	20351	20810	15500	22615	24041	26258
FBGN0033285	24	8	11	4	1	0
FBGN0083951	16	16	2	13	1	0
FBGN0010622	2251	2401	1955	1769	1784	2003
FBGN0050195	55	42	36	73	69	37
FBGN0286203	6613	6700	4855	4226	5046	5380
FBGN0034027	781	994	535	653	659	754
FBGN0033048	51	36	29	16	39	15
FBGN0034383	3	46	45	21	2	8
FBGN0034000	1573	2078	1306	1266	1356	1241
FBGN0000606	78	22	59	41	41	12
FBGN0015754	6780	6798	5827	4956	6223	6352
FBGN0033454	4566	4791	3684	3689	4310	4594
FBGN0034970	7546	6866	5314	6253	6524	7688
FBGN0263760	38	1	6	18	17	15
FBGN0264714	15	7	15	22	3	9
FBGN0050393	53	10	37	15	2	5
FBGN0050466	585	511	376	209	212	217
FBGN0000289	21169	20225	16345	22279	22740	25036
FBGN0028740	65	109	38	95	33	77
FBGN0053758	8	0	5	0	8	2
FBGN0003114	41	47	39	18	5	0
FBGN0033581	9643	9932	7165	7515	9560	9600
FBGN0287864	5429	4942	4211	4993	6316	5514
FBGN0034655	16	46	38	25	21	6
FBGN0050050	17	19	8	0	2	0
FBGN0050115	4526	4407	3381	3460	3763	3778
FBGN0034230	3349	3684	2935	3653	3613	3279
FBGN0262961	9	11	7	29	11	2
FBGN0260768	191	237	148	31	27	13
FBGN0034129	47	6	2	12	16	18
FBGN0034251	518	534	462	637	668	632
FBGN0050275	122	110	104	47	41	16
FBGN0050429	36	25	25	45	27	41
FBGN0034215	3620	3792	3401	2990	2871	2944
FBGN0287213	8	12	37	0	7	3
FBGN0034398	8142	7948	7551	3763	4556	4912
FBGN0034245	578	1025	586	409	585	567
FBGN0261794	706	807	573	563	546	604
FBGN0034087	17108	16384	13182	17944	18445	19610
FBGN0262881	19	7	7	12	6	26
FBGN0063492	356	280	273	117	104	147
FBGN0033348	1680	1667	1438	1720	1746	1544
FBGN0033208	1503	1443	1116	811	1042	788
FBGN0034766	28	0	17	20	2	5
FBGN0010548	8029	8487	6384	7415	7428	8402
FBGN0027835	66291	67901	54204	60471	69331	70897
FBGN0085260	178	123	59	82	106	100
FBGN0003254	85	63	13	26	13	6
FBGN0025832	2747	2970	2089	2104	2669	2372
FBGN0264753	215	242	209	139	136	155
FBGN0050491	648	596	556	549	556	575
FBGN0034284	3	14	5	14	3	7
FBGN0259483	6215	5751	4853	5659	6756	6345
FBGN0033808	809	658	481	487	585	468
FBGN0033773	60	68	46	58	46	38
FBGN0050295	1848	1650	1506	1615	1453	1589
FBGN0034643	8184	8310	6686	7393	8612	8527
FBGN0033953	50	34	18	23	4	5
FBGN0034128	9	48	15	3	31	10
FBGN0033092	2234	3044	2123	2203	2058	2487
FBGN0034446	82	81	19	59	39	62
FBGN0050026	65	33	41	51	61	54
FBGN0046706	7958	7630	6508	4878	5808	5326
FBGN0266518	6027	6446	4801	3962	3851	4614
FBGN0262117	8489	8792	6861	6460	7517	6023
FBGN0086712	3261	3417	3037	2729	2407	2235
FBGN0085217	32	4	10	8	12	1
FBGN0004896	23	0	44	26	13	21
FBGN0050440	19708	20313	15841	16311	18182	15521
FBGN0034456	73	51	56	20	47	5
FBGN0033498	114	55	49	38	41	12
FBGN0035012	34	11	12	1	0	3
FBGN0033061	119	100	84	193	247	278
FBGN0063493	52	50	41	26	12	22
FBGN0034269	1759	1539	1197	1275	1416	1623
FBGN0033192	128	82	144	88	55	71
FBGN0034443	1918	1777	1290	501	732	565
FBGN0033936	708	676	525	95	287	103
FBGN0050091	47	20	63	30	41	24
FBGN0034601	40	6	8	4	10	2
FBGN0285892	5278	5227	4493	5541	5629	5254
FBGN0034595	32	0	10	17	3	3
FBGN0264297	35	76	36	24	21	18
FBGN0027590	5291	6714	4630	4846	5107	5579
FBGN0050390	812	570	555	763	761	618
FBGN0265193	1731	1705	1556	1687	1824	1963
FBGN0050416	135	95	65	35	30	20
FBGN0034187	83	100	31	83	10	54
FBGN0033928	287	440	361	139	242	219
FBGN0050460	1032	1065	824	1145	1119	1105
FBGN0034350	249	286	254	272	305	292
FBGN0033762	2060	2381	1709	2118	2406	2357
FBGN0287632	45	14	42	10	15	5
FBGN0050324	37	21	24	27	8	38
FBGN0021895	6255	6507	5617	10305	9033	11687
FBGN0050196	39	85	37	13	15	67
FBGN0050184	5	23	12	2	13	22
FBGN0053477	4	0	19	9	1	16
FBGN0264339	100	97	77	70	41	42
FBGN0050074	12	18	17	7	15	0
FBGN0034658	10	2	1	11	0	9
FBGN0010397	1311	1606	1512	2446	2478	2964
FBGN0033588	4	0	3	3	2	4
FBGN0283510	10397	11319	8124	9327	9734	10979
FBGN0027538	958	971	639	829	822	788
FBGN0033856	40	10	15	15	12	24
FBGN0050458	87	90	89	38	25	50
FBGN0010415	16464	17827	12383	15270	17127	16622
FBGN0034734	11146	11040	8224	10411	11764	12127
FBGN0027561	4959	4724	3631	3825	4350	4371
FBGN0050487	24	19	5	1	0	5
FBGN0034140	551	587	483	298	184	347
FBGN0034312	1413	1392	1307	596	597	376
FBGN0261564	5170	4812	3840	4494	4648	4862
FBGN0034826	8	15	41	29	0	42
FBGN0034030	920	722	681	1000	852	1195
FBGN0034104	1	11	27	0	8	1
FBGN0034318	28	8	16	9	11	10
FBGN0050036	33	9	8	10	29	23
FBGN0034310	6349	6591	5444	5498	6040	6731
FBGN0034804	333	290	340	232	207	256
FBGN0050345	1541	1598	1274	33	41	46
FBGN0033093	192	161	205	245	267	300
FBGN0023214	648	472	475	492	360	509
FBGN0033330	55	24	37	28	19	10
FBGN0010411	75332	81805	61839	57176	62463	73335
FBGN0034437	62	54	72	92	24	18
FBGN0027599	2901	2754	2181	2032	2584	2160
FBGN0033308	10	39	15	49	12	18
FBGN0250842	59	1	6	37	1	0
FBGN0040737	29	18	13	7	0	1
FBGN0040093	18	18	5	18	7	9
FBGN0033951	2462	2452	1806	1601	2086	1876
FBGN0034120	9	10	26	27	6	4
FBGN0014877	2484	2188	1871	1860	2014	1854
FBGN0034361	832	1168	824	663	847	767
FBGN0265974	3602	3294	2698	4830	4719	4671
FBGN0034990	46	96	12	30	19	21
FBGN0033195	462	513	383	482	538	556
FBGN0035078	94	106	31	81	111	28
FBGN0027572	1561	1533	1258	2030	2113	1918
FBGN0033999	59	24	15	29	19	3
FBGN0034660	31	28	100	60	2	6
FBGN0033859	5041	5638	4847	4692	5265	5747
FBGN0024754	2598	2898	2460	3697	3701	3980
FBGN0053914	3	8	16	2	3	0
FBGN0259745	2372	2817	2001	3503	3846	4065
FBGN0034503	2402	2776	1905	1793	1856	2132
FBGN0034153	6	12	11	5	5	1
FBGN0265834	14	53	20	14	0	22
FBGN0034850	64	30	20	19	24	24
FBGN0086676	6468	6456	5368	5589	6524	6407
FBGN0034824	53	23	21	45	37	15
FBGN0083977	890	889	724	1245	1216	1069
FBGN0034505	14	10	7	15	11	1
FBGN0034708	12257	11704	9995	10077	11435	11703
FBGN0019968	15414	15430	12315	18584	20618	19452
FBGN0034201	29	4	11	22	2	10
FBGN0033324	66	18	78	57	26	30
FBGN0034825	20	11	22	3	19	11
FBGN0053087	32039	32474	25091	40260	45849	44421
FBGN0043470	9	28	15	35	0	2
FBGN0028622	8046	8008	6491	6738	7202	7720
FBGN0017482	515	481	342	319	377	407
FBGN0034959	1921	1702	1390	1993	2058	2132
FBGN0050471	90	142	42	92	57	98
FBGN0033457	1417	1645	1362	1030	1137	1158
FBGN0050151	20	27	19	8	13	12
FBGN0262479	4	4	4	1	0	6
FBGN0050323	307	319	220	292	395	323
FBGN0033691	7472	8291	6416	3786	5065	4137
FBGN0034050	787	902	757	570	888	838
FBGN0020908	48	4	7	16	9	28
FBGN0085235	131	155	102	35	61	19
FBGN0011656	4647	4514	3500	4848	6119	6584
FBGN0261477	3262	3381	2472	2720	3138	3086
FBGN0034807	40	26	11	52	17	1
FBGN0034841	26	6	14	2	2	4
FBGN0034274	13	34	10	50	15	19
FBGN0028494	2848	2998	2514	2845	2835	2933
FBGN0015268	41095	42487	34004	37712	39551	42351
FBGN0035020	3496	3569	2909	3267	3430	3589
FBGN0000157	6498	6869	4898	7273	8029	8170
FBGN0033972	3347	3175	2622	2261	2464	2496
FBGN0085459	26	11	11	17	2	5
FBGN0263324	0	17	8	25	1	5
FBGN0034737	29	0	5	5	8	12
FBGN0266580	39416	39929	30599	35910	38870	36769
FBGN0033855	118	105	124	28	59	39
FBGN0060296	5982	6884	5390	5484	6713	6648
FBGN0034554	50	28	19	24	26	27
FBGN0011694	9	0	8	3	3	5
FBGN0033337	592	591	514	587	696	700
FBGN0069969	26	5	10	25	9	21
FBGN0266489	159	229	111	195	123	124
FBGN0033352	11688	12097	9174	12449	13530	14533
FBGN0085474	91	51	97	228	172	196
FBGN0034221	144	187	194	54	38	44
FBGN0029175	1456	1087	968	945	1162	931
FBGN0042083	1753	2004	1398	1360	1871	1771
FBGN0034663	7	24	15	36	5	0
FBGN0028434	948	816	661	676	693	651
FBGN0034998	30	62	21	58	15	31
FBGN0265356	1192	1105	941	217	238	190
FBGN0033924	2855	2859	2194	2853	3187	3224
FBGN0033096	73	43	26	20	17	11
FBGN0029131	1770	1553	1598	2131	2004	2451
FBGN0260866	1224	1551	1415	1633	1874	1950
FBGN0284080	1819	2072	1780	786	1020	735
FBGN0034937	188	234	94	200	178	110
FBGN0000078	90	84	59	69	51	26
FBGN0040765	2950	2843	2234	2348	2624	2495
FBGN0034293	28	11	4	0	10	14
FBGN0262169	9135	9105	7791	7881	8785	9073
FBGN0033246	10348	10428	8198	11164	12186	12091
FBGN0040755	19	0	0	1	2	20
FBGN0063499	52	35	11	4	6	1
FBGN0262736	13199	12264	10729	7894	8326	8325
FBGN0000578	12913	11467	10038	12179	13463	12697
FBGN0039970	2451	2909	2020	1611	2103	1640
FBGN0086904	55407	57003	45819	59852	66890	73116
FBGN0033710	124	60	49	26	45	18
FBGN0050493	379	346	400	185	297	368
FBGN0034084	2006	2272	1699	1398	1766	1840
FBGN0033570	2205	2402	1824	1349	1710	1737
FBGN0029506	10967	12529	9130	10146	11470	11226
FBGN0043534	21	4	10	0	1	19
FBGN0003863	425	441	404	155	67	154
FBGN0033526	2892	3135	2734	2935	3681	3540
FBGN0013308	87	2	36	25	13	1
FBGN0263030	1	30	22	6	0	8
FBGN0034814	1396	1210	1316	1015	1011	1423
FBGN0025185	1641	1480	1389	1352	1485	1591
FBGN0034768	12	4	5	15	2	14
FBGN0000395	2521	2746	2024	3545	3957	3882
FBGN0034750	3440	3612	3102	2155	2492	2902
FBGN0039994	8087	7965	7233	5101	6602	5611
FBGN0287631	226	179	184	61	38	36
FBGN0033904	105	116	65	93	85	46
FBGN0004132	3126	3244	2582	2531	2805	2658
FBGN0085230	200	278	182	28	46	14
FBGN0015509	19700	18742	15628	20216	20817	21989
FBGN0050479	3	29	4	0	0	0
FBGN0250827	33	6	23	15	4	4
FBGN0010611	2694	2704	2283	1697	1772	2005
FBGN0085253	19	14	7	3	16	0
FBGN0085569	5	2	11	11	41	0
FBGN0033367	8164	7982	6926	1309	1132	943
FBGN0034463	14	51	37	33	8	26
FBGN0033749	1552	2122	1425	2056	2019	2168
FBGN0259219	240	269	193	26	66	20
FBGN0034972	54	50	44	71	42	67
FBGN0028953	11264	10653	9080	10620	11108	10949
FBGN0043070	2717	2723	2279	2202	2622	2309
FBGN0033240	1217	867	1032	697	1054	912
FBGN0033548	1250	1380	987	1004	1420	1271
FBGN0021875	2461	2751	1874	1696	1954	1669
FBGN0286785	4793	4849	3921	3051	3726	3350
FBGN0033907	1710	2131	1595	936	1437	1333
FBGN0033793	40	8	13	1	1	7
FBGN0250850	9130	9858	7590	12102	12387	12792
FBGN0263741	58	32	56	14	22	14
FBGN0263260	1296	1359	1098	984	1264	1024
FBGN0050447	30	0	18	1	2	14
FBGN0034059	1005	1188	1137	636	626	505
FBGN0050290	1391	1382	1330	850	1152	967
FBGN0034223	5028	5505	3864	4893	5225	5678
FBGN0033668	500	677	459	342	363	320
FBGN0034727	2440	3334	2206	2506	2769	3122
