Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0000036	196	193	149	257	202	203
FBGN0038397	187	256	173	139	105	83
FBGN0037467	4660	4989	3654	3944	4478	4452
FBGN0039778	560	478	418	40	11	6
FBGN0039169	6476	5236	4188	5632	5388	5271
FBGN0000015	66	39	75	84	38	59
FBGN0010247	13842	13306	10313	4911	5700	4563
FBGN0037607	36105	40978	29731	30402	34145	37018
FBGN0261847	23	17	3	12	4	8
FBGN0039449	1347	1448	1139	1362	1183	1441
FBGN0037798	1	7	2	19	5	12
FBGN0261789	8296	8544	6872	4262	4621	4798
FBGN0002542	12875	12775	10213	12948	15064	15014
FBGN0015790	12975	12621	9669	9826	12135	12186
FBGN0053339	17	40	40	29	5	16
FBGN0043799	834	893	647	966	1024	1110
FBGN0038450	42	49	60	20	17	12
FBGN0086613	9076	8937	7110	8366	9682	8673
FBGN0259975	5	0	8	10	0	2
FBGN0086355	8803	8031	6933	7436	7267	9073
FBGN0037489	7073	7835	5596	5734	6008	6242
FBGN0051098	253	180	183	151	202	247
FBGN0037399	42	52	22	32	18	19
FBGN0014869	4166	3703	3308	3966	3932	4698
FBGN0003884	308868	315794	245365	216768	222782	255902
FBGN0042206	40	61	25	49	22	29
FBGN0029503	1696	2212	1510	1582	1703	1756
FBGN0037322	66	6	44	34	16	8
FBGN0039806	143	36	36	46	18	36
FBGN0051533	58	53	70	28	15	46
FBGN0027866	13480	13727	11003	12160	13224	13933
FBGN0039835	1090	1048	870	857	858	828
FBGN0037703	3253	2751	2572	2862	3696	3247
FBGN0038952	243	238	184	116	126	70
FBGN0039085	108	24	30	50	25	10
FBGN0026399	36	24	17	30	23	8
FBGN0037609	1676	1599	1337	807	1044	998
FBGN0010015	134	165	82	71	53	46
FBGN0037304	56	27	32	24	8	7
FBGN0263782	2186	2027	1507	1455	2091	1994
FBGN0026563	136	61	52	93	28	52
FBGN0051100	199	192	220	109	144	99
FBGN0046247	1488	1532	1112	1043	963	1056
FBGN0037739	3251	3417	2634	2673	2674	2753
FBGN0039671	82	39	26	37	20	11
FBGN0086610	45	10	36	9	10	1
FBGN0039157	2890	3093	2125	3162	2945	3165
FBGN0037291	66	68	45	17	21	20
FBGN0039437	117	64	24	35	15	11
FBGN0039118	250	94	136	302	330	284
FBGN0038404	161	118	103	173	126	203
FBGN0043043	64	51	74	37	33	18
FBGN0039862	197	336	169	173	204	197
